open,high,low,close,volume,rsv_9,kdjk_9,kdjk,kdjd_9,kdjd,kdjj_9,kdjj
0.507484,0.507484,0.506844,0.507364,2417719985.4671617,81.2500000000011,60.41666666666703,60.41666666666703,53.472222222222335,53.472222222222335,74.30555555555641,74.30555555555641
0.507377,0.508553,0.506921,0.508322,2407664343.4917307,86.48332358104321,69.10555230479241,69.10555230479241,58.68333224974569,58.68333224974569,89.94999241488586,89.94999241488586
0.507936,0.507936,0.503163,0.506277,2390575444.580816,57.77365491651108,65.32825317536529,65.32825317536529,60.89830589161889,60.89830589161889,74.18814774285809,74.18814774285809
0.506323,0.506761,0.505906,0.506761,2386591611.092879,66.7532467532465,65.80325103465903,65.80325103465903,62.5332876059656,62.5332876059656,72.3431778920459,72.3431778920459
0.508286,0.509046,0.507501,0.507589,2381315560.3781013,75.23372429032725,68.94674211988176,68.94674211988176,64.67110577727098,64.67110577727098,77.49801480510331,77.49801480510331
0.511066,0.514331,0.510998,0.512831,2393002676.442527,86.56876790830988,74.82075071602446,74.82075071602446,68.05432075685547,68.05432075685547,88.35361063436244,88.35361063436244
0.513058,0.513058,0.511904,0.512561,2387483888.980887,84.15114613180565,77.93088252128486,77.93088252128486,71.34650801166526,71.34650801166526,91.09963154052406,91.09963154052406
0.512537,0.512537,0.510823,0.510823,2376103943.771529,68.58882521489998,74.81686341915656,74.81686341915656,72.5032931474957,72.5032931474957,79.44400396247829,79.44400396247829
0.510146,0.51043,0.509058,0.51043,2379232260.3477173,65.06984240687726,71.56785641506346,71.56785641506346,72.19148090335162,72.19148090335162,70.32060743848714,70.32060743848714
0.511135,0.511458,0.509646,0.509646,2371798741.8496246,58.04978510028691,67.06183264347128,67.06183264347128,70.48159815005818,70.48159815005818,60.222301630297466,60.222301630297466
0.508864,0.508864,0.507558,0.507558,2360681414.74398,39.35351002865279,57.825725105198444,57.825725105198444,66.2629738017716,66.2629738017716,40.951227712052145,40.951227712052145
0.50862,0.509997,0.50847,0.509997,2345153420.0038524,48.557863501484384,54.73643790396042,54.73643790396042,62.42079516916787,62.42079516916787,39.36772337354553,39.36772337354553
